No,Judul Berita,Isi Berita,isHoax
1,Video Kebakaran di Israel Akibat Rudal dari Hizbullah,Pemandangan nyata dari dalam Israel akibat peluncuran rudal Hizbullah… @drhossamsamy65.,TRUE
2,Lowongan Kerja di KP2KP Makale,PT. KP2KP MAKALA POSISI Admin data Staff kantoran Telemarketing PERSYARATAN Lamaran kerja RiwYAT HIDUP Ktp/kk Fto 3×4 1 lembar Berpenampilan menarik Usia 18 sampai 38 tahun SMA / SMK/Diploma / sarjana BENEFIT Kos di tanggung Bpjs di tanggung Jenjang karir Gaji 2 – 3  juta perbulan No target Jam kerja senin – jumat 08.30 – 17:00 Ms. Karina 081260746257,TRUE
3, Air rebusan sirih untuk mengobati mata buram,Cara mengobati mata buram  ,TRUE
4,"Bupati Kasmarani Bagikan Bantuan Lewat WA
","/mengirim bukti tf/ Alhamdulillah ini donasi dari saya dan keluarga saya, semoga berkah dan bermanfaat, amin ya rabbalalamin InsyaAllah nanti akan ada dana bantuan tambahan lagi amanah dari saya dan rekan rekan saya untuk Ponpes MQBS Bengkalis dan Titipan dana amanah dari saya untuk Yayasan Ponpes Al Muttaqien Lampung sekalian ",TRUE
5, Pengakuan Sri Mulyani tentang obat herbal rekomendasi Dokter Terawan,"Hipertensi telah merenggut nyawa semua kerabat saya dan saya merasa bahwa saya akan segera mati juga. Namun berkat obat ini saya lupa akan tekanan darah tinggi, nyeri dada dan kelelahan kronis. Obat revolutioner baru telah menyelamatkan nyawa puluhan ribu orang Indonesia. Hal pertama yang akan anda alami, jika tidak mengkonsumsi obat ini adalah kematian akibat hipertensi, operasi yang mahal dan rumit atau hidup dalam siksaan………",TRUE
6,Alat Uji PCR Mengandung Etilen Oksida yang Menyebabkan Kanker,"MENGAPA BANYAK ORANG TIBA-TIBA TERKENA KANKER? UJI PCR MENGANDUNG ETILEN OKSIDA, KARSINOGEN! INI SALAH SATU ALASANNYA !!. Jebakan batman, perangkap residu ada dimana2. Solusinya gak usah test. Gas etilen oksida merupakan zat berbahaya yang digunakan dalam produksi etilen glikol yang digunakan dalam berbagai produk. Misalnya obat-obatan, busa poliuretan, perekat, deterjen, tekstil, anti beku, dan pelarut. Sementara itu industri medis menggunakan etilena glikol (turunan etilen oksida) yang diproduksi dari fasilitas sterilisasi untuk mensterilkan peralatan medis, peralatan bedah, dan produk medis lainnya. Sayangnya, proses sterilisasi, penyimpanan, pemindahan dan penanganan etilen oksida dapat menyebabkan tempat kerja jadi beracun. Terutama jika pekerja terluka melalui kontak kulit atau polusi udara yang mengandung etilen oksida. Badan internasional untuk Penelitian Kanker (IARC) mengklasifikasikan bahwa bahan kimia berbahaya etilen oksida sebagai karsinogenik. Bukti terbaru oleh Environmental Protection.",TRUE
7,TV One News: PM Timor Leste Klaim Suara TOA Di NegaraNya Sangat Berisik dan Akan Dimusnahkan bila tidak bisa diatur volumenya”,PM Timor Leste Klaim: Suara TOA Di NegaraNya Sangat Berisik dan Akan dimusnahkan bila tidak bisa diatur volumenya. Ya musnahkan ajalah TOA.. brisik & mengganggu. Kalo dibiarkan terus.. Nanti kuping jadi congek.. Subhanaallah.,TRUE
8,"Foto Pelabuhan Eilat, Israel pada 19 Juli 2024",Penampakan pelabuhan Eliat Israel hari ini yang katanya hancur lebur akibat serangan rudal Houthi Yaman yang katanya hanya membutuhkan waktu 20 menit menurut salah satu orang islam model kontol @OmJ_JeNggot ini.. Masyaallah Namun sudah bbrp hari ini rudalnya belum nyampe.,TRUE
9,"Penemuan Ikan Kecil Berkepala Mirip Sapi
",Masyaallah ada ikan berkepala sapi ,TRUE
10, KPK Temukan Gudang Uang Milik Gibran Rakabuming Raka? Ternyata Hoaks,"Sebuah video di YouTube beredar luas dengan judul provokatif yang mengklaim bahwa Komisi Pemberantasan Korupsi (KPK) berhasil menemukan gudang penyimpanan uang milik Wakil Presiden Terpilih, Gibran Rakabuming Raka. Video tersebut menyebutkan penemuan uang tanpa menyebut lokasi atau jumlah pasti yang ditemukan. Narasi dalam video berbunyi:  BERITA TERKINI ~ GUDANG PENYIMPANAN UANG GIBRAN DI TEMUKAN.?? ~ KABAR AKURAT. Apakah benar KPK menemukan sejumlah uang di gudang milik Gibran?",TRUE
